Tachometer,UA axial,UA radial,UA tangential,OA axial,OA radial,OA tangential,Microphone
-0.10968162859999997,0.023203513199999998,0.009780175367999999,-0.006465966290000006,-0.1660364958138,-0.42274257260600007,-0.035374865145599996,0.024141210166399998
0.1309423054,-0.005557874799999991,-0.012895970244400007,0.01846506836000001,-0.37890047907200003,-0.6376688124619999,-0.059323691658000006,0.01930395060456
-0.09913278680000003,0.01862953399999999,0.003722545939219995,-0.007336340743999985,-0.20786676923599998,0.17584202198539997,-0.0553245641316,0.021260923289599998
0.16950707599999995,0.01509595023799999,-0.0033866241780000045,0.011256652709999999,0.002835636973999999,0.26367988128299996,-0.02482229310400001,0.020180483337200003
-0.19198958199999996,0.027583426559999964,0.005039646103600003,-0.006443823343599999,-0.126060037022,-0.237866870268,-0.0222832298578,0.019562798280799997
0.2334747362,0.007339251853999974,-0.006615617304799996,0.007023731920800006,0.26827677187599996,0.770076804736,0.0327278874714,0.02091293306216
-0.20663193000000002,0.03185442199999995,0.010476640068,-0.010194984880000008,0.19724365541999997,-0.037690991906000025,0.047135085654,0.019473177610800002
0.20600872179999996,0.009744261919999962,-0.008209680840799996,0.004134245598000007,0.422840864004,0.6601382430500001,0.0778120224328,0.02116975876436
-0.21397322839999997,0.03521790450299999,-0.006296019775999997,-0.006818144046200003,0.277385823734,-0.051298240890600026,0.039406241712,0.0182271481364
0.18721416799999996,0.008785805880000077,-0.007072856143999994,0.00811887769199999,-0.041460552616,-0.558728864038,0.025911328895999997,0.0230473246908
-0.2093261684,0.03353137618199997,0.005621037989999997,-0.009782335815799997,0.028870309185999986,-0.0015177750685999854,-0.002404595870600005,0.016636029187200002
0.17313149,-0.0011767668820000722,-0.019400734492399995,0.009140428403999994,-0.21978946605480004,-0.49671224192400004,-0.0006852852905999924,0.024214965547200002
-0.20512219599999998,0.03108032799999997,0.020972532189999997,0.002526574079999998,-0.26766178685,-0.25680302115000003,-0.05301589096,0.015865563273560004
0.1518479582,-0.02108795188000007,0.0063035205140000074,0.0041914143260000005,-0.41916286317154,-0.55500393752,-0.03661335885799999,0.024966153485760003
-0.22496949399999994,-0.04498160406179994,-0.004182144271999995,-0.008442650635999993,-0.25740167964354005,-0.11273270997959998,-0.05441534278199999,0.0157577285538
0.15035899699999997,-0.02792415688599999,-0.009139716896000006,0.003395417378200007,-0.037634678084000006,0.41610529954639996,-0.018224513458,0.02531678448516
